Dam Name,Other Names,Former Names,NID ID,Other Structure ID,Federal ID,Owner Names,Owner Types,Primary Owner Type,Number of Associated Structures,Is Associated Structure?,Designer Names,Non-Federal Dam on Federal Property,Primary Purpose,Purposes,Source Agency,State or Federal Agency ID,Latitude,Longitude,State,County,City,Distance to Nearest City (Miles),River or Stream Name,Congressional District,State Regulated Dam,State Jurisdictional Dam,State Regulatory Agency,State Permitting Authority,State Inspection Authority,State Enforcement Authority,Federally Regulated Dam,Federal Agency Owners,Federal Agency Involvement Funding,Federal Agency Involvement Design,Federal Agency Involvement Construction,Federal Agency Involvement Regulatory,Federal Agency Involvement Inspection,Federal Agency Involvement Operation,Federal Agency Involvement Other,Built Under the Authority of the Secretary of Agriculture,NRCS Watershed Dam Authorization,Primary Dam Type,Dam Types,Core Types,Foundation,Dam Height (Ft),Hydraulic Height (Ft),Structural Height (Ft),NID Height (Ft),NID Height Category,Dam Length (Ft),Volume (Cubic Yards),Year Completed,Year Completed Category,Years Modified,NID Storage (Acre-Ft),Max Storage (Acre-Ft),Normal Storage (Acre-Ft),Surface Area (Acres),Drainage Area (Sq Miles),Max Discharge (Cubic Ft/Second),Spillway Type,Spillway Width (Ft),Number of Locks,Length of Locks (ft),Lock Width (Ft),Length of Secondary Lock (Ft),Secondary Lock Width (Ft),Outlet Gate Type,Data Last Updated,Last Inspection Date,Inspection Frequency,Hazard Potential Classification,Condition Assessment,Condition Assessment Date,EAP Prepared,EAP Last Revision Date,Website URL,Operational Status,Operational Status Date,Inundation Maps Added to NID?,American Indian/Alaska Native/Native Hawaiian
Greenwood Road Dam,,,NC06697,,NC06697,"Betty Lynn Farms, LLC",Private,Private,,No,,,Irrigation,Irrigation,North Carolina,LEE-042,35.3896,-79.2055,North Carolina,Lee,,,,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,,,,0,Undetermined,,,,Undetermined,,0,,,,,,,,,,,,,,2023-09-25,,,High,,,No,,https://damsafety.org/north-carolina,,,No,
Levai Farm Lagoon Dam,,,NC07020,,NC07020,Steven M Levai,Private,Private,,No,,,Other,Other,North Carolina,DUPLI-044,34.9978,-77.9128,North Carolina,Duplin,,,,"North Carolina, Congressional District 03",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,,Earth,Earth,,,,,,0,Undetermined,,,,Undetermined,,0,,,,,,,,,,,,,,2023-09-25,,,Significant,,,No,,https://damsafety.org/north-carolina,,,No,
Jones Dam,,,NC04786,,NC04786,George J Fowlkes,Private,Private,0,No,,,Recreation,Recreation,North Carolina,CASWE-031,36.4587,-79.2896,North Carolina,Caswell,Blanch,8,S. Fork Rattlesnake Creek,"North Carolina, Congressional District 06",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,17,22,22,Less than 25 feet,230,,,Undetermined,,12,12,10.56,1.3,,,,,,,,,,,2023-09-25,2021-01-12,,High,Poor,,No,,https://damsafety.org/north-carolina,,,No,
Raintree Dam #7,William Penn Dam,,NC03471,,NC03471,James L Spruill,Private,Private,0,No,,,Recreation,Recreation,North Carolina,MECKL-104,35.07167,-80.7982,North Carolina,Mecklenburg,,,Fourmile Creek,"North Carolina, Congressional District 14",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,28,30,30,25-50 feet,340,,,Undetermined,9999,72,72,67,3.3,50,,,,,,,,,,2023-09-25,2023-04-12,,High,Fair,,Yes,2016-01-05,https://damsafety.org/north-carolina,,,No,
Hideaway Bay Dam,"Providence Development Dam, Valley View Drive Dam",,NC03448,,NC03448,"Hideaway Bay Association, Inc.",Private,Private,0,No,,,Recreation,Recreation,North Carolina,MECKL-081,35.2185,-80.7425,North Carolina,Mecklenburg,,,McAlpine Creek,"North Carolina, Congressional District 12",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,13,18,18,Less than 25 feet,380,,,Undetermined,1994,42,42,30,5.8,123,0,,,,,,,,,2023-09-25,2020-07-01,,High,Poor,,Yes,2010-11-28,https://damsafety.org/north-carolina,,,No,
Bright'S Creek Wet Weather Detention Pond Dam,,,NC05754,,NC05754,"Aqua North Carolina, Inc.",Private,Private,0,No,,,Other,Other,North Carolina,POLK-043,35.34595,-82.26508,North Carolina,Polk,,,,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,,30,30,25-50 feet,0,,2007,Since 2000,,23,0,23,2.3,3,,,,,,,,,,2023-09-25,2023-04-05,,Low,Fair,,Yes,2006-12-22,https://damsafety.org/north-carolina,,,No,
Sycamore Ridge Dam,,,NC06025,,NC06025,"Sycamore Ridge Homeowners Association, Inc.",Private,Private,0,No,,,Recreation,Recreation,North Carolina,CABAR-087,35.46,-80.5791,North Carolina,Cabarrus,,,UT to Cold Water Creek,"North Carolina, Congressional District 12",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,13,15,15,Less than 25 feet,282,,,Undetermined,,8,8,7,1.3,13,0,,,,,,,,,2023-09-25,2022-01-05,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Sugar Mountain Dam,Snow Lake Dam,,NC01859,,NC01859,"Sugar Mountain Ski Resort, LLC",Private,Private,0,No,,,Other,Other,North Carolina,AVERY-019,36.13032,-81.8548,North Carolina,Avery,Banner Elk,3,Flattop Creek,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,27,32,32,25-50 feet,370,,,Undetermined,,11,11,8,0.7,,,,,,,,,,,2023-09-25,2022-02-25,,High,Satisfactory,,No,,https://damsafety.org/north-carolina,,,No,
Lake Roberta Dam,,,NC03191,,NC03191,R. S. Jones,Private,Private,0,No,,,Recreation,Recreation,North Carolina,JACKS-048,35.0692,-83.0857,North Carolina,Jackson,,,Little Whitewater Creek,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,26,30,30,25-50 feet,155,,,Undetermined,,18,18,12,1.5,,,,,,,,,,,2023-09-25,2022-12-30,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Akins Lake Dam #1,,,NC00931,,NC00931,"Mill Ridge South Homeowners Association, Inc.",Private,Private,0,No,,,Irrigation,Irrigation;Recreation,North Carolina,WAKE-065,35.62246,-78.79873,North Carolina,Wake,Banks,5,Basal Creek,"North Carolina, Congressional District 13",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,17,20,20,Less than 25 feet,450,,1954,1950-1959,,75,75,61,8,0,66,,,,,,,,,2023-09-25,2019-02-07,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Aaran Lakes West Dam,,,NC02141,,NC02141,City of Fayetteville,Local Government,Local Government,0,No,,,Recreation,Recreation,North Carolina,CUMBE-067,35.00993,-78.98761,North Carolina,Cumberland,Hope Mills,2,Beaver Creek,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,11,15,15,Less than 25 feet,300,,,Undetermined,2003,54,54,,9,,,,,,,,,,,2023-09-25,2022-12-20,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,Lumbee SDTSA
Lower Colonial Dam,,,NC02788,,NC02788,"Colonial Pipeline Company, Greensboro Junction",Private,Private,0,No,,,Other,"Other;Fire Protection, Stock, Or Small Fish Pond",North Carolina,GUILF-131,36.0668,-79.9389,North Carolina,Guilford,Greensboro,1,East Fork Deep River-Tr,"North Carolina, Congressional District 06",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,13,20,20,Less than 25 feet,350,,,Undetermined,,64,64,41,8,,,,,,,,,,,2023-09-25,2021-01-26,,High,Satisfactory,,Yes,2023-05-01,https://damsafety.org/north-carolina,,,No,
Ncsu Centennial Campus Farm Pond Dam,Dorothy Dix Farm Pond Dam,,NC01283,,NC01283,"State of North Carolina, State Property Office",State,State,0,No,,,Recreation,Recreation,North Carolina,WAKE-089,35.7647,-78.672,North Carolina,Wake,Raleigh,0,Swift Creek,"North Carolina, Congressional District 02",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,13,20,20,Less than 25 feet,300,,,Undetermined,2008,20,20,,2,,,,,,,,,,,2023-09-25,2022-11-04,,High,Fair,,Yes,2019-03-01,https://damsafety.org/north-carolina,,,No,
Swiss Pine Lake Dam,,,NC00282,,NC00282,Swiss Pine Lake Community Association,Private,Private,0,No,,,Recreation,Recreation,North Carolina,MITCH-008,35.89447,-82.07652,North Carolina,Mitchell,Spruce Pine,2,Graveyard Creek,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,30,35,35,25-50 feet,750,,1961,1960-1969,2009,124,124,87,10,770,1400,,,,,,,,,2023-09-25,2022-09-21,,High,Satisfactory,,Yes,2009-10-05,https://damsafety.org/north-carolina,,,No,
Lake Raleigh Dam,,,NC00863,,NC00863,"State of North Carolina, State Property Office",State,State,0,No,,,Flood Risk Reduction,Flood Risk Reduction;Recreation;Water Supply,North Carolina,WAKE-036,35.7657,-78.6766,North Carolina,Wake,Raleigh,0,Walnut Creek,"North Carolina, Congressional District 13",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,18,29,29,25-50 feet,762,,1914,1910-1919,2001,1921,1921,560,88.1,7689,13990,,,,,,,,,2023-09-25,2023-02-15,,High,Satisfactory,,Yes,2019-03-01,https://damsafety.org/north-carolina,,,No,
Upper Ridge Cove Dam,,,NC01296,,NC01296,Bernard Lanigan,Private,Private,0,No,,,Recreation,Recreation,North Carolina,JACKS-008,35.1056,-83.1371,North Carolina,Jackson,"Ford, GA",7,UT to Chattooga River,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Concrete,Concrete;Arch,,,,31,32,32,25-50 feet,183,,1945,1940-1949,,84,84,75,7,359,,,,,,,,,,2023-09-25,2021-04-20,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Lake Swannanoa Dam,,,NC06420,,NC06420,Carolyn Fauteux,Private,Private,,No,,,Other,Other,North Carolina,DURHA-138,36.0293,-78.9561,North Carolina,Durham,,,Ellerbe Creek,"North Carolina, Congressional District 04",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Other,Other,,,,,,0,Undetermined,,,,Undetermined,,0,,,,,,,,,,,,,,2023-09-25,2021-02-24,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Price Mill Lake Dam,,,NC00567,,NC00567,,Not Listed,Not Listed,,No,,,Other,Other,North Carolina,ROCKI-015,36.262,-79.901,North Carolina,Rockingham,Wittys Crossroads,3,Troublesome Creek,"North Carolina, Congressional District 06",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,15,20,20,Less than 25 feet,250,,1947,1940-1949,,72,72,60,10,5914,83,,,,,,,,,2023-09-25,2014-12-03,,Low,Satisfactory,,No,,https://damsafety.org/north-carolina,,,No,
White Pond Dam #2,,,NC03694,,NC03694,"Grimesland Plantation, LLC",Private,Private,0,No,,,Irrigation,Irrigation;Recreation,North Carolina,PITT-007,35.5665,-77.1618,North Carolina,Pitt,Washington,6,Tar River,"North Carolina, Congressional District 01",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,13,17,17,Less than 25 feet,3333,,,Undetermined,,102,102,78,15,,,,,,,,,,,2023-09-25,1999-09-29,,Low,,,No,,https://damsafety.org/north-carolina,,,No,
Mangum Pond Dam,,,NC04965,,NC04965,Catherine M Phelps,Private,Private,0,No,,,"Fire Protection, Stock, Or Small Fish Pond","Fire Protection, Stock, Or Small Fish Pond",North Carolina,PERSO-031,36.268,-78.805,North Carolina,Person,,,Knap of Reeds Creek,"North Carolina, Congressional District 04",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,21,25,25,25-50 feet,350,,,Undetermined,,70,70,0,7,0,0,,,,,,,,,2023-09-25,2021-03-02,,Low,Poor,,No,,https://damsafety.org/north-carolina,,,No,
Brevard Music Camp Lower Dam,Sonata Lake Dam,,NC04338,,NC04338,Brevard Music Center,Private,Private,0,No,,,Recreation,Recreation,North Carolina,TRANS-035,35.241,-82.749,North Carolina,Transylvania,Brevard,0.5,Brushy Creek,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,20,23,23,Less than 25 feet,360,,,Undetermined,,21,21,18,2.3,,,,,,,,,,,2023-09-25,2023-01-13,,High,Poor,,Yes,2023-04-01,https://damsafety.org/north-carolina,,,No,
Whippoorwill Lake Dam,,,NC00222,,NC00222,Whippoorwill Lake Club,Private,Private,0,No,,,Recreation,Recreation,North Carolina,MECKL-006,35.186,-80.938,North Carolina,Mecklenburg,Pineville,8,Coffey Creek,"North Carolina, Congressional District 14",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,35,40,40,25-50 feet,400,,1953,1950-1959,,192,192,192,12,115,3,,,,,,,,,2023-09-25,2020-10-20,,Low,Unsatisfactory,,No,,https://damsafety.org/north-carolina,,,No,
Alberty Dam,,,NC04293,,NC04293,Richard V Lawson,Private,Private,0,No,,,Recreation,Recreation,North Carolina,SURRY-063,36.3219,-80.718,North Carolina,Surry,Rockford,9,Bear Creek,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,15,17,17,Less than 25 feet,180,,,Undetermined,,13.4,13.4,12,2,55,138,,,,,,,,,2023-09-25,2021-01-12,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
River Mont Dam,,,NC04281,,NC04281,Deer Pond Limited,Private,Private,0,No,,,Irrigation,Irrigation;Recreation,North Carolina,SURRY-051,36.282,-80.605,North Carolina,Surry,Siloam,2,UT to Yadkin River,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,29,32,32,25-50 feet,528,,,Undetermined,,64.6,64.6,58,5,55,180,,,,,,,,,2023-09-25,2023-02-15,,Low,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Sparrow Springs Lake Dam,,,NC01681,,NC01681,Ruth R Everhart,Private,Private,0,No,,,Recreation,Recreation,North Carolina,GASTO-048,35.188,-81.291,North Carolina,Gaston,"Red River, SC",34,UT to South Crowders Creek,"North Carolina, Congressional District 14",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,23,28,28,25-50 feet,256,,,Undetermined,,60,60,,8,257,,,,,,,,,,2023-09-25,2022-01-05,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Eastwood Lake Dam,,,NC00781,,NC00781,Towne Properties Lake Forest Association,Private,Private,0,No,,,Recreation,Recreation,North Carolina,ORANG-013,35.946,-79.031,North Carolina,Orange,,,Booker Creek,"North Carolina, Congressional District 04",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Masonry,Masonry,,,,18,19,19,Less than 25 feet,319,,1937,1930-1939,,330,330,250,47,2835,650,,,,,,,,,2023-09-25,2022-11-29,,High,Fair,,Yes,2022-01-01,https://damsafety.org/north-carolina,,,No,
Lake Cammack Dam,Lake Burlington Dam,,NC00739,,NC00739,City of Burlington,Local Government,Local Government,0,No,,,Recreation,Recreation;Water Supply,North Carolina,ALAMA-002,36.1774,-79.4113,North Carolina,Alamance,Burlington,5.8,Stony Creek,"North Carolina, Congressional District 04",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Concrete,Concrete;Earth;Gravity,,,,47,61,61,51-100 feet,848,,,Undetermined,,36000,36000,23000,757,29440,63000,,,,,,,,,2023-09-25,2023-02-21,,High,Fair,,Yes,2016-01-05,https://damsafety.org/north-carolina,,,No,
Auman Lake Dam,,,NC00491,,NC00491,Bruce Speight,Private,Private,0,No,,,Recreation,Recreation,North Carolina,RANDO-012,35.57,-79.848,North Carolina,Randolph,Asbury,8,Little River-Tr,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,26,29,29,25-50 feet,431,,1950,1950-1959,,90,90,68,4,134,83,,,,,,,,,2023-09-25,2020-04-08,,Low,Not Rated,,Not Required,,https://damsafety.org/north-carolina,,,No,
Stone Lake Dam,,,NC01602,,NC01602,"Millspeaks Properites, LLC",Private,Private,0,No,,,Recreation,Recreation,North Carolina,FORSY-180,36.258,-80.359,North Carolina,Forsyth,,,Parkers Creek,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,24,28,28,25-50 feet,360,,,Undetermined,,71.4,48,71.4,7.6,,,,,,,,,,,2023-09-25,2016-09-07,,Low,Not Rated,,No,,https://damsafety.org/north-carolina,,,No,
Lands Lake Dam,,,NC01074,,NC01074,"BTB Farms, LLC",Private,Private,0,No,,,Recreation,Recreation,North Carolina,FRANK-017,35.9572,-78.29,North Carolina,Franklin,Bunn,2,Crooked Creek,"North Carolina, Congressional District 01",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,13,15,15,Less than 25 feet,285,,1954,1950-1959,,65,65,44,12,,255,,,,,,,,,2023-09-25,2021-12-10,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Grays Millpond Dam,Pulley Pond Dam,,NC00945,,NC00945,"Perry Grandchildren, LLC",Private,Private,0,No,,,Recreation,Recreation,North Carolina,GREEN-001,35.35244,-77.66151,North Carolina,Greene,Grifton,15,Wheat Swamp Creek,"North Carolina, Congressional District 01",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,7,11,11,Less than 25 feet,750,,1928,1920-1929,,158,158,132,25,2901,165,,,,,,,,,2023-09-25,2023-02-09,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Lake Elton Dam,,,NC01037,,NC01037,Elton Blair Clements,Private,Private,0,No,,,Recreation,Recreation,North Carolina,DURHA-021,35.926,-78.898,North Carolina,Durham,Parkwood,2,Northeast Creek-Tr,"North Carolina, Congressional District 04",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,23,25,25,25-50 feet,480,,1962,1960-1969,,155,155,128,13,608,33,,,,,,,,,2023-09-25,2022-03-22,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Mitchums Lake Dam,Waterford Place Poa Dam,,NC06434,,NC06434,Waterford Place POA,Private,Private,,No,,,Other,Other,North Carolina,TRANS-091,35.239,-82.7518,North Carolina,Transylvania,,,UT to Ruby Stream,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,,Other,Other,,,,,,0,Undetermined,,,,Undetermined,,0,,,,,,,,,,,,,,2023-09-25,2023-01-10,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Upper (Allen Creek) Dam,,,NC06405,,NC06405,City of Boiling Spring Lakes,Private,Private,,No,,,Other,Other,North Carolina,BRUNS-012,34.0216,-78.0693,North Carolina,Brunswick,,,Allen Creek,"North Carolina, Congressional District 07",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Other,Other,,,,,,0,Undetermined,,,,Undetermined,,0,,,,,,,,,,,,,,2023-09-25,2019-01-22,,High,Not Rated,,Yes,2021-01-01,https://damsafety.org/north-carolina,,,No,
Cottonwood Dam,,,NC04825,,NC04825,Willem E Bok,Private,Private,0,No,,,Recreation,Recreation,North Carolina,MECKL-136,35.0982,-80.8075,North Carolina,Mecklenburg,Charlotte,0,McAlpine Creek,"North Carolina, Congressional District 14",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,14,15,15,Less than 25 feet,233,,,Undetermined,,14,8.4,14,1.4,,,,,,,,,,,2023-09-25,2022-01-12,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Maready Lake Dam,,,NC04805,,NC04805,Strawberry Lane Partnership,Private,Private,0,No,,,Recreation,Recreation,North Carolina,FORSY-199,36.11361,-80.34417,North Carolina,Forsyth,,,Muddy Creek-Tr,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,21,26,26,25-50 feet,460,,,Undetermined,,90,90,66,11,985,790,,,,,,,,,2023-09-25,2021-03-05,,Low,Fair,,Not Required,,https://damsafety.org/north-carolina,,,No,
Strickland Bridge Dam,,,NC05990,,NC05990,Strickland Bridge HOA,Private,Private,0,No,,,Fish and Wildlife Pond,Fish and Wildlife Pond;Recreation,North Carolina,CUMBE-108,35.0087,-79.0214,North Carolina,Cumberland,,,Rockfish Creek,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,14,15,15,Less than 25 feet,310,,,Undetermined,,116,116,,7.6,,,,,,,,,,,2023-09-25,2022-12-07,,High,Poor,,No,,https://damsafety.org/north-carolina,,,No,Lumbee SDTSA
Winery Lane Dam,,,NC05616,,NC05616,"Lawyers Road Professional Park, Inc.",State,State,0,No,,,Other,Other,North Carolina,MECKL-183,35.2015,-80.7198,North Carolina,Mecklenburg,,,McAlpine Creek,"North Carolina, Congressional District 12",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,8,9,9,Less than 25 feet,200,,,Undetermined,,7,7,0,1.7,25,0,,,,,,,,,2023-09-25,2023-05-18,,High,Poor,,No,,https://damsafety.org/north-carolina,,,No,
Daniel Dam,,,NC04593,,NC04593,Lynwood C Daniel,Private,Private,0,No,,,Recreation,Recreation,North Carolina,WAKE-283,35.6133,-78.7425,North Carolina,Wake,,,Terrible Creek,"North Carolina, Congressional District 13",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,27,27,27,25-50 feet,320,,,Undetermined,,26,26,18,2,8,,,,,,,,,,2023-09-25,2019-02-07,,Low,Poor,,No,,https://damsafety.org/north-carolina,,,No,
St. Andrews Plantation Dam,Brown Lake Dam (Wake-032),,NC04579,,NC04579,"Adams Developments, LLC",Private,Private,0,No,,,Recreation,Recreation,North Carolina,WAKE-268,35.914,-78.514,North Carolina,Wake,NE Raleigh,0,Smith Creek,"North Carolina, Congressional District 02",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,9,19,19,Less than 25 feet,570,,,Undetermined,2005,23,23,17,3,1583,2658,,,,,,,,,2023-09-25,2023-02-24,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Palmetto Lake Lower Dam,,,NC00210,,NC00210,"Palmetto Council, BSA",Private,Private,0,No,,,Recreation,Recreation,North Carolina,POLK-006,35.26571,-82.30152,North Carolina,Polk,Pea Ridge,25,Cove Creek,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,29,35,35,25-50 feet,220,,,Undetermined,,70,70,40,5,,,,,,,,,,,2023-09-25,2023-03-14,,Significant,Poor,,No,,https://damsafety.org/north-carolina,,,No,
Kanuga Conference Lake Dam,,,NC00234,,NC00234,Kanuga Conferences Inc,Private,Private,0,No,USDA NRCS,,Recreation,Recreation,North Carolina,HENDE-016,35.26322,-82.51588,North Carolina,Henderson,Hendersonville,5,Little Mud Creek,"North Carolina, Congressional District 11",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,Natural Resources Conservation Service,,,,,,No,N/A,Earth,Earth,,,,23,30,30,25-50 feet,445,,1966,1960-1969,,16,16,13,26,,66,,,,,,,,,2023-09-25,2022-08-30,,Significant,Satisfactory,,Yes,2006-11-27,https://damsafety.org/north-carolina,,,No,
John Bunch Lake Dam,,,NC00451,,NC00451,City of Asheboro,Local Government,Local Government,0,No,,,Water Supply,Water Supply,North Carolina,RANDO-025,35.7223,-79.8601,North Carolina,Randolph,Farmer,11,Cedar Fork Creek,"North Carolina, Congressional District 09",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth,,,,33,47,47,25-50 feet,400,,1942,1940-1949,,471,471,396,25,1626,1146,,,,,,,,,2023-09-25,2021-01-27,,High,Fair,,Yes,2022-05-01,https://damsafety.org/north-carolina,,,No,
Icard Dam,,,NC05245,,NC05245,Sandra T Robbins,Private,Private,0,No,,,Recreation,Recreation,North Carolina,ALEXA-036,35.8163,-81.3399,North Carolina,Alexander,,,Upper Little River,"North Carolina, Congressional District 10",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,,,,,,,No,N/A,Earth,Earth;Gravity,,,,47,58,58,51-100 feet,267,,1919,1910-1919,,3046,3046,2858,120,25433,10883,,,,,,,,,2023-09-25,2023-03-02,,High,Fair,,No,,https://damsafety.org/north-carolina,,,No,
Witherow Lake Dam,,,NC01501,,NC01501,"Laurel Lake, LLC",Private,Private,0,No,USDA NRCS,,Recreation,Recreation,North Carolina,STOKE-019,36.4584,-80.3414,North Carolina,Stokes,Dan River,8,Long Branch,"North Carolina, Congressional District 05",Yes,Yes,"NCDEQ, DEMLR, Dam Safety Program",Yes,Yes,Yes,No,,,Natural Resources Conservation Service,,,,,,No,N/A,Earth,Earth,,,,30,35,35,25-50 feet,270,,1962,1960-1969,,56,56,48,4,121,385,,,,,,,,,2023-09-25,2020-03-18,,Low,Not Rated,,No,,https://damsafety.org/north-carolina,,,No,
